Australia; € 2.251,67 
Austria; € 2.167,08 
Belgium; € 2.215,82 
Canada; € 2.257,22 
Chile; € 1.090,19 
Czech Republic; € 1.218,91 
Denmark; € 2.383,16 
Estonia; € 1.252,97 
Finland; € 1.885,57 
France; € 1.859,10 
Germany; € 2.192,08 
Greece; € 1.109,68 
Hungary; € 1.036,35 
Iceland; € 2.752,61 
Ireland; € 2.017,88 
Israel; € 1.603,81 
Italy; € 1.540,47 
Japan; € 1.570,90 
Korea; € 1.711,41 
Latvia; € 1.218,54 
Lithuania; € 1.297,46 
Luxembourg; € 2.685,97 
Mexico; € 661,97 
Netherlands; € 2.399,40 
New Zealand; € 1.846,37 
Norway; € 2.275,08 
OECD - Total; € 2.005,28 
Poland; € 1.326,67 
Portugal; € 1.158,75 
Slovak Republic; € 963,34 
Slovenia; € 1.690,40 
Spain; € 1.546,71 
Sweden; € 1.917,79 
Switzerland; € 2.643,95 
United Kingdom; € 1.922,97 
United States; € 2.830,27 